epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss
132,0.8171917796134949,1.2236305475234985,0.9946501851081848,0.9461,0.89952,0.94921,0.66878,0.78287,1.2805,1.01308
133,0.854723334312439,1.3872960805892944,1.0269571542739868,0.94572,0.90067,0.94935,0.66896,0.78213,1.27815,1.01264
134,0.797538697719574,1.3942108154296875,1.0472724437713623,0.948,0.89945,0.94965,0.66958,0.78131,1.27543,1.01219
135,0.8239326477050781,1.264315128326416,1.0051335096359253,0.94619,0.90033,0.9498,0.66963,0.78069,1.27405,1.01189
136,0.9472474455833435,1.7177164554595947,1.1102609634399414,0.94517,0.90142,0.94956,0.67004,0.78079,1.273,1.01171
137,0.7718499302864075,1.390303373336792,1.056849718093872,0.9444,0.90244,0.94967,0.67056,0.7804,1.27117,1.01134
138,0.9128575921058655,1.5626846551895142,1.0772693157196045,0.94635,0.90149,0.94971,0.67057,0.7796,1.27019,1.01055
139,0.8125416040420532,1.377605676651001,1.0069580078125,0.94801,0.9017,0.95037,0.67179,0.77856,1.26906,1.00956
140,0.722118616104126,1.1776515245437622,1.0079691410064697,0.94714,0.90238,0.95075,0.67185,0.77857,1.26762,1.00916
141,0.8776799440383911,1.442700982093811,1.06344473361969,0.9444,0.90033,0.94947,0.67183,0.77898,1.26863,1.0093
142,0.7960039377212524,1.2875717878341675,0.9958994388580322,0.94446,0.90065,0.9497,0.6725,0.77801,1.26766,1.00848
143,0.8211894035339355,1.2988837957382202,1.018211007118225,0.94445,0.90043,0.95001,0.67281,0.77725,1.2643,1.00765
144,0.8073612451553345,1.2622250318527222,0.9942519664764404,0.94243,0.9019,0.94937,0.67284,0.77648,1.26244,1.00708
145,0.8849649429321289,1.6885610818862915,1.0597018003463745,0.94261,0.90127,0.94923,0.67364,0.77588,1.26194,1.00652
146,0.8090327382087708,1.3275855779647827,1.0700657367706299,0.9427,0.90165,0.94956,0.67422,0.77522,1.26024,1.00602
147,0.847503662109375,1.3022902011871338,1.0290284156799316,0.94318,0.90101,0.94979,0.67441,0.77456,1.25829,1.00574
148,0.7892042994499207,1.4080111980438232,1.0033671855926514,0.94392,0.90088,0.94977,0.67508,0.77333,1.25665,1.00531
149,0.8096944093704224,1.3212482929229736,1.0078449249267578,0.93787,0.90233,0.9478,0.67262,0.77285,1.25655,1.00531
150,0.8358296155929565,1.440450668334961,1.0732287168502808,0.93823,0.90204,0.94835,0.67308,0.77166,1.25424,1.00501
151,0.8160809278488159,1.264235496520996,0.9874470233917236,0.93825,0.90238,0.94838,0.67366,0.77144,1.25166,1.00497
152,0.8582359552383423,1.2978615760803223,1.0315206050872803,0.93906,0.90217,0.94851,0.67385,0.77095,1.24913,1.00459
153,0.8693339824676514,1.2362984418869019,1.0361411571502686,0.93924,0.90292,0.94865,0.67428,0.77059,1.2477,1.00451
154,0.7801507115364075,1.1445592641830444,0.9866833090782166,0.93409,0.9019,0.94809,0.67447,0.77005,1.24769,1.00445
155,0.8101062178611755,1.2673499584197998,0.9952126741409302,0.9324,0.9023,0.94797,0.6747,0.76978,1.24714,1.0046
156,0.7020079493522644,1.2370249032974243,0.9919111132621765,0.93144,0.90387,0.94615,0.67485,0.76923,1.2459,1.00438
157,0.7879927158355713,1.3072067499160767,1.0274417400360107,0.92567,0.90542,0.94523,0.67082,0.76861,1.24503,1.00405
